,323_CT,381_CT,398_CT,382_CT,397_CT,485_CT,486_CT,487_CT,488_CT,489_CT,490_CT,491_CT,492_CT,494_CT,496_CT,497_CT,498_CT,499_CT,500_CT,501_CT,472_CT,459_CT,323_LT,381_LT,398_LT,382_LT,397_LT,489_LT,496_LT,472_LT,459_LT
A0A023I7J4,0.197117091,-1.094055654,-0.410660381,-1.345544473,-0.549466804,-0.904924006,0.87928753,0.142015787,0.274647506,0.501919899,-0.851866397,-0.650470368,0.580725879,-0.647435801,1.550036977,0.592254566,-1.159340563,-0.375096106,-0.908895251,0.119435241,-0.052468531,-0.316195457,0.667223416,0.387029787,1.604243115,-0.331712119,0.165970378,-0.493374102,1.637551338,-0.02432351,-1.572345633
A0A023I7N5,-0.242096906,-0.121678607,-0.071328413,-0.842083698,0.26005467,-3.080508673,-1.749249201,1.313079864,0.747924101,0.797349302,-0.083801355,-0.729087165,-0.242628422,1.706435447,0.556569102,-0.636141604,-0.91967908,-0.968191827,-0.420399596,-0.681278135,1.109095738,1.087276925,0.403840844,1.357036212,-0.072354171,-1.4347055,0.419982632,-0.461029475,0.659054197,1.329351778,-0.280189396
A0A023I7N8,0.446454734,0.404350895,-0.888690867,-1.270184286,0.558065789,0.280550257,-0.767004653,0.106157512,-0.809334226,-0.617974129,-0.105427466,1.748761493,-0.422463867,0.242059349,-1.811604561,0.052610006,-0.933587544,-0.506590473,0.436341142,-0.78920595,2.888389782,1.564597537,0.107645487,-2.074542362,0.888190148,0.57423691,1.004059964,-1.011828902,-0.819683593,0.150180698,0.533992423
A0A023I7W4,1.266234661,0.737999251,-0.146064363,1.387804237,-1.024918075,0.424792541,0.600016245,-0.741434398,-0.143599775,-0.606822251,-1.80913501,-0.961511364,0.170624725,-0.281141313,1.729125716,0.597391782,0.318639212,0.717476555,-0.376639375,0.778318122,0.058899994,0.465683839,-1.142269097,-1.118290188,-0.402616955,-1.872848167,-2.81265626,0.075177727,0.044088094,-0.232684764,-0.000703784
A0A023I905,0.870645383,-1.993525107,-0.469294167,1.89933972,-0.059297767,-0.76108979,-0.010315014,-0.868697138,0.490094359,1.036000243,0.49771219,1.679083309,1.230031126,-1.950650036,0.604968743,0.49424349,-0.811998025,0.586781648,-0.956073836,-0.673358367,1.413489542,0.832829626,0.36628779,-1.370121783,-0.404773234,0.109298157,0.312066249,-0.381955108,-0.951900068,-2.063621395,0.06931961
A0A023Q4K2,0.773424392,1.800908998,-1.31897173,-0.16970114,1.990620011,-0.785178114,0.71450278,0.111128049,-0.141803511,1.132700686,-0.213829898,-0.342344769,0.363623442,-1.616423152,-0.203880025,0.7049267,-0.692985616,-0.55432053,0.782779706,-1.242746865,-0.955177513,2.070284428,0.530559333,-0.379508205,-0.544870551,1.015327322,0.471221617,-1.180552244,-1.051464595,-0.546354275,0.166476465
A0A023QSC6,-0.401524368,-0.179023778,2.145457643,0.200512284,1.755979731,-1.079467775,-0.298163343,0.114991352,-0.405296336,0.551458876,-1.033314718,-0.490869308,0.014084667,0.853289034,-0.779836063,0.017043025,-0.419589898,0.047965824,0.410764875,-0.094948335,-2.0680848,-0.863086103,-0.384259902,-1.070136978,2.409645868,0.908572168,1.350041253,0.024001288,-1.454490137,-0.494737401,-0.222359112
A0A023QZ89,1.246934529,-0.577387148,-0.343625861,0.663164959,0.130784654,-1.862134036,0.257567844,0.648644651,0.009105452,0.50931872,-0.31735839,0.075821068,0.407658154,-0.496060733,0.459590644,0.891917573,-1.149342188,0.029362415,-0.572035637,0.745915246,0.70944507,3.119373808,0.713731373,-0.425795943,-1.501933813,-1.784198053,-1.111783723,0.106990675,-0.973202141,0.189001293,1.683649331
A0A023T6R1,0.933519269,-0.371964273,0.639997603,0.46452301,-1.883566244,0.729850326,0.452550929,0.772565597,1.769063955,-0.25504025,0.440158977,-0.979494741,2.6503128,-1.177922128,0.513298781,-0.694274141,0.159477242,0.717692314,-0.050888995,0.0457599,-0.323060826,0.113282762,-1.005489026,-1.279282209,0.385761118,-0.61474018,-2.208445748,0.027762787,-0.09184939,-0.482129643,1.342579172
A0A023T787,0.978338269,-1.53350333,0.496293829,0.858612366,-1.790492606,0.987897488,1.086658734,0.39965065,0.90970927,0.375697445,0.529330172,-1.405727189,1.418854989,-1.517041579,0.892535791,-0.090973094,0.421068271,0.649648062,0.161683712,-2.940551703,-0.312582775,0.619149223,0.243761461,2.139188057,0.7200897,-0.616872445,-0.676068547,-0.529120211,-0.365538991,-1.012995586,0.558927242
A0A023UN48,-0.707106781,-1.418073882,1.536642171,0.229179592,0.598843387,-0.694884436,2.683214351,-1.883135716,-0.234338888,-0.184822159,1.861953918,1.730440235,1.943549726,-0.664253722,1.713464922,-0.075164525,0.866333253,0.31375479,0.143667131,1.791733127,-1.095781094,-0.666466104,0.707106781,-0.831483947,-0.948447808,-0.849949294,-0.409560615,0.474818398,1.516656187,0.463776523,-0.238458752
A0A024F8Q5,0.160878227,0.952501263,-1.348475719,-0.250593887,-0.04491192,0.649839831,0.635737024,0.736147614,0.355379295,-0.028682117,0.68648249,1.571850301,-2.249871874,-0.18524608,-0.571234031,1.006973691,0.998364404,0.621326356,1.249213119,-1.203070194,-0.826666323,1.232841365,-0.13069072,0.404460213,-1.278993264,0.463807191,0.774330046,-0.929690603,-0.807970153,0.021534679,-1.231894139
A0A024QYR8,0.621933705,-1.009783148,0.343023,1.196514169,0.604801294,-1.721432502,0.300429562,-0.552052566,0.139038217,1.288839602,-0.49827104,-0.396570868,0.494699697,-2.490580217,-0.066913568,-0.018222742,0.619489936,0.132478727,0.016761604,-0.853840188,1.616994968,2.889068327,-0.603178254,2.015990944,-1.082917317,-0.253180785,0.301658533,-0.189794508,-1.342088235,0.722339701,-0.190891096
A0A024QYT6,1.249879627,0.370648825,0.12696731,2.268636945,0.552713728,0.729369821,0.319740413,0.079821456,0.792637472,0.504806136,0.238429433,-1.337806989,0.634190369,-2.601668246,0.473097396,-0.164981605,0.417018976,0.338561909,-0.265480555,0.812668505,-2.072323487,-1.417327629,-0.581969024,-0.558179663,-0.769922271,-0.635377634,-1.429519104,0.445634891,0.49808512,0.684113021,-1.533317203
A0A024QYU9,1.038960278,-0.752534661,0.192482014,0.479197921,-0.586628238,-0.730399675,0.489552939,1.008375202,1.068859234,-0.18541277,0.664431769,-0.582480994,0.53655799,-1.093984107,0.620227398,-0.117004952,0.717993269,0.512101271,0.262544078,-0.628337114,0.30680514,1.721674275,-0.030439516,-3.760391511,-1.140896677,-1.003994863,-1.12359886,0.368985788,0.104475666,0.086518382,1.304325979
A0A024QYV7,0.545585262,0.111294748,0.19638246,0.711085939,-0.65222399,0.307613336,-1.127110668,-1.31852649,-0.254443554,-1.027902851,-0.810369055,-0.463705197,-0.714810398,-0.658398759,0.153227792,-0.107771304,-0.926922852,-0.023894316,-0.038240398,0.569146419,1.153450066,2.892194773,0.103300293,-1.026875637,1.974290196,-0.581951126,0.599317118,0.05984814,-0.040073054,0.041590556,2.228886126
A0A024QYW3,-0.351551572,2.282089224,-0.793384745,2.019944131,-0.079351745,0.411943129,0.338447308,0.385524476,-0.335643945,-0.276390263,0.259974738,-0.711908831,-0.209864486,0.837717633,0.358813942,-0.014491529,0.920955515,0.856250126,0.250529886,0.229645723,-1.713219324,-0.435452651,0.6211054,1.162314797,0.32548156,1.825174764,-0.797428645,-1.400042153,-0.893645229,-1.338325563,-0.69526859
A0A024QYX0,1.094836805,-0.504372244,-0.147551131,1.751212143,-0.520672554,0.533801689,0.115065418,-0.454648008,-0.086066828,-0.63879934,0.044991898,-0.361399848,-0.843571578,-3.355962344,-0.255387138,-0.910570208,-0.387413914,-0.024921756,0.230904052,0.19694448,1.065247644,-0.226974439,0.826748212,0.672184764,-0.64316415,2.684285878,0.153436888,0.572251382,0.622362535,-0.664899755,-0.250728735
A0A024QYX3,-0.147219296,-0.375234961,0.523925706,-0.385114646,0.051772038,0.448636316,-1.123508543,0.497579518,0.807084952,-4.034150358,0.779580236,1.517327852,0.204055349,1.105886744,0.342935928,-0.129949784,0.41182389,0.096288866,-0.443375416,0.401379513,1.551101069,0.552049464,-0.794313145,-0.280387099,0.021657527,-0.69262183,-0.842163317,0.999629201,0.269077392,-0.029488631,1.452633819
A0A024QYX8,-0.151513475,1.14282501,2.498474136,-0.88271371,2.076281748,-0.192440204,-0.750031861,-0.416790318,-1.045776406,-0.133994455,-0.544370649,0.282278092,-0.454321626,-0.643131631,-0.718945072,-0.240225887,-0.218488987,-0.451268604,0.462565535,0.603928745,-0.963845313,-0.147343568,1.448824207,1.210732084,-0.647295092,-1.091564626,2.286220615,-0.842399673,-0.841682974,-0.175544148,-0.881665888
A0A024QYY0,-0.84177232,-0.193271156,-1.103831129,-1.789656271,-0.89685808,-0.057047033,-1.922303261,0.92146547,1.532090244,0.142838756,-0.02022236,0.220346181,-0.016115812,-0.990740037,0.492287257,0.071495252,1.700610124,-0.083997907,-0.023636871,0.765095391,-0.800102563,0.148911014,-0.501932093,0.922644362,0.13034585,-1.596545246,-0.349595922,1.914307404,0.44107094,-1.019532622,-1.895638441
A0A024QYY1,-0.946067952,-0.623018418,-1.214380193,0.485648896,-2.97637248,0.845006381,0.294814082,2.025846743,0.523995528,0.121023274,1.349505876,-0.498336427,-0.713476914,-1.467620173,0.896434383,0.781265146,-0.741779291,-1.010348285,0.126554544,-0.732893904,1.034555142,-1.931037921,-0.787224818,-2.376990329,0.917822112,1.722348382,-0.230654095,0.909265986,-1.403021365,0.161987286,-1.168655062
A0A024QYY3,0.895534178,0.465963744,-1.091744494,0.763280427,-0.782217771,-0.092598288,1.873212587,0.751053003,0.906904369,0.248830188,-1.690947638,-1.163140653,1.007768078,-1.435460774,-0.739216145,1.118512614,1.160189867,0.640993141,1.836209196,-0.468554881,-1.816567853,0.769328289,-0.388943655,0.223055691,0.227568652,-0.602062162,-0.316736297,0.578878598,-0.302153559,-1.949335284,-0.775181433
A0A024QYY6,0.453718585,-0.170620846,-1.016844174,0.174496214,0.264003949,0.855779063,0.045708539,-0.101662677,-0.216446821,0.035639571,-0.416475581,-0.026134559,0.2232641,0.705564323,-0.039167317,0.427530304,-0.475994652,-0.189326695,0.140573388,1.466159673,0.269881597,0.216168677,-1.238439622,0.065516009,-0.929726626,0.878979659,-4.010176157,1.070348666,0.884104931,1.163399557,0.935307114
A0A024QYY9,0.070477871,-0.805428784,1.027884848,0.120808416,-0.969995524,1.636005135,-0.934744189,0.496381934,-0.696978153,0.387706118,0.128455754,1.393789482,-1.309332487,0.191165514,-0.435243392,-1.448366118,-1.715468838,-0.697603518,0.043434337,-0.389016531,-1.367281654,0.246563277,0.361812782,-0.967148844,0.328598653,0.962994837,0.848106912,0.081115318,-0.494356871,0.765362674,-0.917166237
A0A024QYZ0,1.082933156,-2.097568492,0.472268416,1.828430349,-0.586686823,-0.465521639,-0.19091679,0.381356311,0.108509253,-1.345779821,0.35531717,1.595505692,1.070592634,-0.444512427,0.02144073,-0.584606061,0.312763023,-0.705460341,1.619215016,1.631540399,-0.80369542,0.954487626,-1.671666201,-0.94052877,-1.084741838,0.326777021,-0.829791128,-1.068265889,-0.242699576,-0.912282368,0.65442522
A0A024QYZ6,2.141281247,-0.710671841,-1.656631688,2.912702973,-0.995777867,-0.663685143,-0.179145273,0.275411462,-0.510087859,-0.027059589,0.028990886,0.046143267,-0.139565737,0.646121042,-0.744638464,0.101273314,0.398413269,-0.377802038,0.410895053,-1.548658171,-0.467004717,0.00639074,0.802665028,-0.978928083,-0.973306498,2.130699543,1.010461542,-0.872761369,-1.231839481,-0.336531913,0.397966627
A0A024QZ02,1.390677823,0.10955995,0.409032609,0.367834833,0.333767151,0.723807607,0.641927603,0.637447546,-1.455473343,0.445785006,0.212817141,0.089072571,-1.618566336,-2.107429421,0.699811876,1.433875096,1.701948509,0.839186158,0.401561568,-0.785426403,-0.029020789,0.629569148,1.062144126,-1.643785669,0.247594908,-0.386395046,0.986264314,-0.622011274,-0.21269872,-0.911568959,-2.166660105
A0A024QZ03,2.475648784,0.798642038,0.621504594,0.416675445,0.597000433,0.410811775,0.535353338,-0.219238837,0.179575622,-0.207287332,0.171616561,0.344271872,0.724706195,-1.977644702,-0.122229587,0.131891904,-0.452111952,-0.567259357,-1.362431478,1.30897235,-1.640905626,-0.432216247,-1.017726457,2.067468022,0.390258906,1.650176299,-1.251617765,-0.560810163,-0.085252832,-0.137956755,-0.375161239
A0A024QZ08,-0.188986191,0.284179937,-0.643280559,1.178760889,0.930309297,-0.354190764,-1.890157452,-0.32228448,1.796703553,-1.051975251,0.419359247,0.21490476,0.002926318,-0.420405316,-0.486912564,0.707106781,0.2074728,-1.701165665,-0.707106781,-0.753085508,1.019139833,0.78367916,0.635164397,-1.282498305,0.320445065,-1.695859516,0.181936311,-2.52505226,-0.979850236,2.839441084,-2.565671861
A0A024QZ15,1.263258166,-0.607972323,-1.060265465,0.794131134,-0.793690744,-0.341593037,-1.992447209,0.078150206,-0.666128682,0.163257686,0.764496653,0.189297073,0.442876281,-0.207244883,-1.22389501,0.62596401,-0.264626157,-1.46774694,-1.970257947,-0.334771718,-0.491104186,0.686035203,-0.153290721,2.055551347,0.218478295,1.168890013,0.364016255,0.432519516,0.730202685,-2.372762383,-1.839152925
A0A024QZ20,0.152141105,0.52232652,1.066116942,-0.013642107,-1.580317831,0.628602989,0.429606651,0.612460912,0.48653953,-1.838893869,-0.806916932,-0.411141011,1.227605823,-0.403168156,0.658081328,0.235030244,-1.002065053,0.132840142,-0.625275707,-1.201063209,1.245852277,0.202917312,-0.618566828,-1.344182688,0.057544668,1.120177209,-0.930369308,-0.289902287,0.329878257,1.307018019,1.055812015
A0A024QZ22,1.695050733,-0.975099818,2.132931986,1.068711616,-1.224848305,1.342635453,1.08945389,-0.067516305,-0.15759723,-0.207610021,0.404841573,-0.116886743,-0.727531105,0.226616294,-1.452623085,-0.581687502,-0.486426623,-0.386936429,1.038193162,1.391793026,0.282443486,-0.428373886,-1.630197035,0.120638149,-0.32833155,-0.426721546,-1.084881138,-0.023102409,0.200110518,-0.636865718,-1.290348755
A0A024QZ26,0.718476892,1.823137625,0.574059057,0.400992018,-0.44234798,0.579308166,0.53066662,-0.333227706,-0.795206653,-1.375870762,-0.157549281,0.175475929,0.483553059,1.139459406,0.238820482,0.273901258,-0.700362724,0.561283967,0.39890237,1.022681781,-2.719244221,0.970715322,-0.393690734,-0.913602499,-1.482804548,-0.046921548,-1.116176834,-0.656764961,-1.236926234,-0.501263203,1.374728004
A0A024QZ30,-0.60334346,1.249523206,-0.997262446,0.575822657,1.414151227,-2.154015064,-0.485533006,0.274846915,-0.67812379,0.838892198,0.140988558,-0.665556953,-0.01866662,-0.858814164,-0.120861952,0.887670576,-0.585174258,-0.409038671,-0.603240395,0.475371194,-1.447685583,0.136698077,-0.57438416,-1.68835534,-0.304733914,1.209468585,-0.286105008,1.925554571,0.477764254,-0.65549139,0.067036699
A0A024QZ34,2.33603954,0.829712741,-0.038322524,-0.444234396,-1.128773173,-0.480895442,0.48250656,-0.735844092,-0.375882194,-0.531072104,0.485123316,-0.624971736,-0.295240485,0.848496287,-0.148658758,0.090728223,1.11012923,-0.780670356,-0.109789139,-0.352288228,-0.255939165,-2.404981682,3.011328505,-1.01080426,0.313960185,-0.270770543,-2.37497684,-0.957685223,-0.160055042,-1.496748678,0.942449373
A0A024QZ48,-0.445416084,-0.412683183,-0.279872706,-0.428298431,-0.663470083,-0.696363496,0.598488515,-0.625841339,0.024052831,0.056681392,-0.34454988,-0.816116686,-0.433036154,-1.026736367,-0.011347688,-0.222694076,-0.143150001,-0.477077926,-0.270595167,-2.133474265,-0.751273758,-0.481490616,0.018892635,-0.505191728,0.279839539,-1.083977827,4.144403242,-0.326225567,0.065945484,0.523891192,0.25418146
A0A024QZ62,-0.268013299,0.091856015,-0.194419589,1.483349941,0.364806801,0.638198118,0.506025613,0.081502047,0.525656203,0.29517625,-0.491245539,-1.983033185,-0.192365377,-0.239975609,0.555090678,0.394233213,0.802405793,0.286115172,-0.505289906,-1.976870457,-1.608931919,-0.226259031,1.00356069,-0.390951685,-0.399018849,2.102972029,0.729908809,0.785159282,1.094604995,-2.013144248,0.58096395
A0A024QZ63,-0.826654684,-0.401488184,0.283505449,-1.817354383,0.121025584,0.248754799,-0.762711236,0.264313084,-1.004489677,0.871351694,-0.211379096,3.847522654,-0.028044607,0.113583691,-0.174429393,0.259400971,0.580971588,-1.142673999,0.305645631,1.903585047,-0.955427963,0.573167742,-1.179213745,-0.111295524,0.495686171,-1.207176912,-0.117806785,0.779404487,-0.653468203,0.03976303,0.005155977
A0A024QZ64,1.574873193,0.091050077,0.123273835,0.039180634,0.198949093,-0.16009768,-0.257844292,0.010750153,0.641073987,-0.495118679,-0.386356924,-0.362902764,-0.546332874,0.065781264,-0.371962486,-0.689378762,-2.489209128,-0.447119587,0.078594869,-1.669134302,-1.106651222,-0.612224036,1.813253214,-1.149717717,0.402149035,0.473598404,0.059693084,2.034909376,1.533893371,-0.598097973,-0.360789659
A0A024QZ68,-0.592308107,0.606915535,0.78953432,-0.400577643,-0.648743932,-1.867969162,0.439462893,-0.231968244,-0.970190151,-0.156095736,0.058740149,0.847565351,-0.568034886,1.180318844,-0.293793655,0.150858601,0.419342094,-1.019784051,0.681195277,1.985999361,2.516576069,0.123828765,1.21468157,-1.002468475,-0.160395817,0.683253572,-0.196035936,-1.727577911,0.30097244,0.190955162,-1.752705903
A0A024QZ70,0.366364315,-0.558732693,-1.162321189,-0.145972028,-0.164213598,-1.296161807,0.892320765,-1.755935044,0.107056208,1.069022277,-0.097321869,1.500961962,-0.943879562,0.518244219,0.870242392,1.267925394,-1.495541677,-0.519774537,0.243503039,-0.874546696,-0.333521782,-0.487356626,0.835554366,0.637995921,0.06316887,-0.989060962,0.56532568,0.372300516,0.400432814,-1.488761413,-0.338714604
A0A024QZ77,1.404270764,-0.250540999,1.200120778,1.248975147,1.020797615,1.245232063,-0.002274291,0.989090173,0.785393753,0.195722341,0.355872419,0.33672463,0.100292368,-0.767618154,-0.840713638,0.06850417,0.242468357,0.527957512,-0.302814352,0.090617436,-0.878338273,0.229104954,0.630860275,-3.08578019,0.800855291,-0.522725386,-0.023381315,-1.291596658,-1.606865267,-0.525098927,-1.23894466
A0A024QZ86,0.522376009,1.272311008,-0.906693211,-0.656316303,0.022926631,0.648657346,-0.245915569,0.623817604,-0.41915506,0.090258568,1.055537946,-0.478051461,1.305598377,1.420119715,-0.344519863,1.808029254,0.250104958,0.682730277,-0.561078344,0.612184662,0.240301185,1.324889833,-0.774235455,-0.952704708,-0.000607022,-1.497308069,-1.185623128,1.623185968,-0.523915627,0.214416004,-1.515080063
A0A024QZ89,-1.111586774,-1.68755071,0.286109149,1.385452035,1.529060595,1.986456044,0.164794251,-1.004420771,0.552509208,0.723595158,-0.22227709,-0.648016754,0.443349652,0.665189123,0.030577841,0.170317247,1.060211111,0.227372133,0.991465574,-0.119339909,-0.369683853,-0.28054798,-1.144987119,-0.587291897,0.49825888,0.491394457,1.189520326,-0.014662317,-0.886995075,-3.106616185,-0.147298532
A0A024QZ95,0.807582132,0.023366788,2.314337834,-0.001662487,0.233149245,0.024616485,-0.304568777,0.572473585,-1.368570339,-0.30614907,0.739485755,-0.034176117,-0.307612611,-0.274043968,0.416886352,-0.206498164,0.008558344,-0.154092122,-0.548736739,-0.281552259,-1.162814483,0.06691698,0.636357704,0.471758066,3.045920434,0.156708322,0.710790809,-0.483831241,-0.565976691,-0.234535193,-3.242615077
A0A024QZA8,-0.011749236,0.15577242,-1.173638582,0.635800045,0.196096866,-0.262747496,0.038530604,0.270566534,-0.505980439,-0.448407302,-0.489708664,0.287657049,-0.496012915,-0.594808566,-0.756726182,0.712491069,-0.728147609,-0.947050107,-0.582312856,-0.530598865,0.876965904,0.044817759,0.208279963,3.928781996,-1.31641603,-0.262399305,0.158148074,-0.166361476,0.418886824,0.73397697,-0.388893288
A0A024QZA9,1.002101768,0.866289581,0.686909693,-0.91424176,-1.244657593,-0.271910274,-0.272890854,0.044240902,-0.576824683,0.128987343,1.024002489,-2.054164298,-0.718310714,-0.44868809,1.109993096,0.978696072,-0.583877605,-1.40941892,0.592084575,0.007053821,1.275703199,0.898696416,1.060140623,1.279820395,0.174612095,-0.157987054,-0.681211907,-0.711539483,1.44261682,-1.770525556,-0.762415048
A0A024QZB4,0.622021996,-0.206233001,-0.416747592,0.365076412,0.337834126,0.073827616,-0.079988852,-0.024776824,-1.047964529,1.584745195,-0.285003264,-0.408930342,-0.078777286,-1.927616811,-0.011069587,0.510710605,-1.588850096,-0.253119057,-0.482650127,-1.290203263,1.183778593,0.620803555,0.36560275,-1.938939873,-0.980806385,1.186454131,0.968729192,1.812831228,1.419784172,0.321591301,0.643681637
A0A024QZB5,0.105843836,0.248680451,-1.284270098,-1.213862305,-0.410513385,0.584842006,0.239379532,-0.952615115,-1.967752496,1.066792233,-0.454838165,-1.431817693,-1.55832285,1.981876499,1.525621179,-0.823781197,0.915525993,-1.490783231,-1.295867952,1.346473629,-0.127517937,0.479043928,0.977935959,-1.159370868,-0.339072543,0.094671202,-0.053611931,1.626715184,0.557677852,1.197980613,-0.594377916
A0A024QZC1,-0.258649251,-0.51473034,-0.624138884,-0.201043347,-0.728950627,-0.319193448,0.498764885,4.266528552,-0.138549962,0.5987422,0.721818154,-1.026154472,0.847383718,-0.518107956,0.135520717,-0.310850029,0.555532006,-0.415796804,-0.366007764,0.223937605,1.192872295,-0.386524734,-0.509956453,2.041525942,0.238455123,-0.281411461,-1.051232863,0.367580726,-0.09052994,-0.751864422,0.344490844
A0A024QZD1,1.208739459,0.353223824,0.606798257,-0.172873349,-0.638045804,0.692326239,-0.979284561,1.219323303,1.045714956,1.310716264,0.716277854,1.972592075,1.005758194,-0.976211908,0.873048388,-0.224905258,-0.132178556,0.078544899,0.284945216,0.237330862,-0.736500386,-0.502501686,0.123694706,-1.52033703,0.335841574,-1.540825922,-2.227160145,0.267508891,0.228930602,-1.137831595,-1.762541985
A0A024QZD5,0.11592443,-0.605452191,1.068664866,0.294667613,0.005315536,-0.330285924,0.854130484,1.063451468,0.375471607,-0.486425598,1.31100267,-0.135098934,1.255175811,1.12090621,0.474193585,-0.624850393,0.245707075,0.323327273,0.729847842,-0.146412294,-1.346820076,-0.100308389,-2.691585369,-2.491192941,0.206551846,-1.294134181,-1.140595014,0.109390531,0.119745365,-0.548145576,1.425459043
A0A024QZE0,-1.3984299,0.132748098,-0.222204878,0.311422194,-0.33057251,1.169147864,-1.051133799,-1.339056075,1.428232612,0.013561624,0.249437398,-0.804576184,-0.520440435,-0.320340008,-1.165354791,-1.414555781,0.363043735,-0.982776012,-0.332783188,-0.485800863,0.16310201,0.050580207,-1.570831243,1.276751341,1.776846512,-0.864846966,-1.461452676,-1.878332054,0.781024249,0.384938197,0.034711483
A0A024QZE6,-2.352640359,1.868622862,-1.19514269,-0.192551166,-0.854284516,0.064836186,0.12846814,0.364057861,0.215167062,0.167706427,0.058999562,1.676150889,1.284955426,1.840696704,-0.195162242,0.139722857,-0.257702487,-0.322444152,-0.119539745,-0.594057982,1.143457007,-0.192886263,-1.957394428,-0.140067655,-0.809775597,1.015567359,-1.164651673,1.812764607,-0.278681007,-0.55045391,-0.103784864
A0A024QZF1,0.711719771,-0.59188471,0.657021944,0.318083518,-0.492405002,-0.449798051,1.771478332,0.864159474,1.458018174,-0.454973725,0.127156588,-0.899237694,0.840559491,-1.357698001,1.096328216,-0.106106966,0.550707507,0.426134249,-0.684325064,-1.757735442,-0.315155531,0.399651473,0.593007886,-3.465264689,0.199890587,-0.511295985,-0.578508512,0.294323221,0.554393923,0.168368318,0.994265921
A0A024QZF2,-0.135206184,0.897742989,-0.306003411,-0.744324721,-0.341752347,0.543758522,0.302377065,0.671204394,0.03033795,0.601429413,0.855270345,0.554782742,-0.512473131,3.685161379,-0.895688961,0.536319933,0.244206052,-0.394909828,0.315730899,-1.067074415,1.100441723,0.548880651,0.151936898,-1.837729365,-1.180666199,-0.594415259,-0.176986714,-0.687611217,-0.414608563,-0.404187795,-1.82092723
A0A024QZF6,0.114739716,0.565392625,-0.260357543,1.524221596,-0.934661102,0.555232576,-1.028212597,-0.287835156,-1.238263122,0.782943234,-1.115551345,-1.378194182,1.004940022,2.517444044,0.411006406,-1.33826225,-0.028541963,1.075999649,-0.748101822,-0.077803493,0.803305398,-0.409675494,-0.803962539,0.472952084,0.250958302,-0.338525927,0.432479284,1.751837337,0.140189283,0.57092737,-0.318795301
A0A024QZF8,-1.074012369,0.231710113,-0.534739246,-1.746922023,2.082482337,-1.567225386,-0.105334359,-1.240138852,0.945367712,0.56004307,-0.26337897,1.734432989,1.490716567,1.68057296,-0.384680996,-0.285716506,0.662084414,-0.54721234,0.140888681,0.335118069,0.702462641,-0.94508215,-0.655752067,-0.147908258,-0.57708993,-0.174550865,-1.395411771,-0.014461485,1.397018569,-2.511299786,-1.331141893
A0A024QZG0,2.148504412,-0.313476527,-1.613798305,0.168516776,0.515051762,0.282422068,0.510599007,-0.779982397,0.51522846,-0.345301945,0.643222424,-1.605020938,0.568985558,-0.106774077,0.799635096,0.101069982,0.355008251,0.150899852,0.604200903,-1.522227054,-1.816826519,1.380317413,1.938945204,0.807583498,0.278031031,-1.585040514,-1.33349974,-0.414610043,0.607458329,0.165392661,0.354408226
A0A024QZH6,-0.645199863,-0.100784313,-2.422385904,-1.2405279,0.806998932,-0.312070681,-0.870678179,-0.273537216,-1.019885309,0.030446619,-0.305677649,-0.32834387,1.57362906,-0.950598021,0.517699587,-3.003950502,-1.314304069,0.670538208,-1.497900749,1.330855272,0.151014361,0.149209048,1.208219973,-1.705687618,-1.522624866,-0.083268378,0.037424489,-2.361898125,-0.207038078,-0.507314638,-0.696639756
A0A024QZI2,0.361711145,-1.872312241,1.362296717,0.300529638,-1.598973988,0.143004462,0.611217454,-0.111910964,-0.254870082,1.027472135,0.977190841,-0.198526537,-0.82049767,-0.101105519,0.003896662,0.369100692,-0.061114063,-0.065265389,0.157979504,-2.732914348,1.855137089,2.575713682,-0.11284878,0.033033235,0.261240925,-1.82603671,-0.113443666,0.518802985,1.073264394,-1.113107166,0.011568799
A0A024QZI4,0.82387999,-1.75737719,-1.894337459,0.083673032,0.655088139,-1.891592833,0.838545888,-0.223443389,-0.139042619,0.738288367,1.429909672,0.852794358,1.097233289,-0.451965698,0.496690976,0.07209678,-1.301444285,-0.504519267,-0.861334617,-0.265431874,-0.353528388,1.263110297,-1.387117441,-1.298306273,-0.203543164,0.513240397,0.557177675,-0.933402544,0.662834852,0.257705008,0.392253128
A0A024QZJ2,0.449902013,1.21024575,1.070935969,-0.602056096,1.185480421,0.76203553,-0.167468809,0.71710576,0.048212893,-0.159953504,-0.176520485,0.472917489,-0.596575148,-0.218013308,-0.798903786,-0.695142104,0.398208697,-0.540793595,-0.252877129,0.51482783,-0.989213486,-0.202852431,1.582871692,1.206465267,-0.761896618,1.737443003,-0.05050178,0.571330185,-2.370963425,-2.554123314,0.580498207
A0A024QZJ4,-0.456181023,1.604758396,0.805003398,-0.041865711,-0.11557785,0.690712959,0.28763642,1.146428547,-0.195710034,-0.667927351,-0.40688452,-0.140910869,-0.512736303,3.616943414,-0.781832492,-0.265844523,0.221816276,-0.565831359,0.058941214,-0.434222813,1.621789445,0.219400599,-0.277068914,-0.952663699,-0.944614157,0.046208268,-1.064236083,-0.823565763,-1.184542268,0.064052904,-1.283833441
