,323_CT,381_CT,398_CT,382_CT,397_CT,485_CT,486_CT,487_CT,488_CT,489_CT,490_CT,491_CT,492_CT,494_CT,496_CT,497_CT,498_CT,499_CT,500_CT,501_CT,472_CT,459_CT,323_LT,381_LT,398_LT,382_LT,397_LT,489_LT,496_LT,472_LT,459_LT
A0A024R292,0.481285673,0.911173446,-1.360966618,0.807205334,-0.644226811,-0.782572621,-1.289127417,-0.151704738,-0.112738971,-0.973272798,-0.06295172,0.926687278,-0.349626544,0.865141783,0.032471113,0.781720162,-0.722796632,0.329946443,0.134975353,-2.221315247,0.535872363,0.16918022,0.47710257,-1.181206327,0.020632035,1.9780909,-1.24319655,-0.262500322,1.563985887,-0.368530337,-0.115579393
A0A024R297,0.940218424,-0.508027366,1.12020075,0.636681449,-0.240550507,0.675937623,-0.169595938,-0.244510374,0.246570573,1.034333451,-0.262872393,-0.187630905,0.864707828,0.307520676,-0.283936183,0.932883844,3.141515247,-0.289965815,-0.239353888,0.276718776,-0.322857169,-0.263309248,-0.729523867,-1.160651788,1.838285324,0.192560314,0.139903868,1.366924086,-1.545587061,1.251668998,-0.367039842
A0A024R2A0,0.15381839,1.363703864,0.894610248,0.436701471,0.230333444,1.542344191,0.652349423,0.543253433,-0.834301728,0.199789458,1.818008661,0.080744001,0.391240165,0.172729059,-1.509725592,-0.189117084,-1.138951377,-0.072559471,1.68511503,0.146871048,1.932537395,-1.321910327,1.170807505,0.991041277,1.314120756,-0.21606358,-0.004684505,0.725209746,-0.635506841,0.081842195,-0.613670864
A0A024R2A7,1.078620068,0.695315586,-0.851227293,0.934017873,0.552432898,0.701731199,0.434867503,-1.211770597,-0.786162289,-0.455891215,-0.029210629,0.14155689,-0.707046091,-2.972074757,0.826526019,1.500871273,-0.236734741,0.651145063,0.394105679,-0.053846437,-0.143182952,0.800116265,0.805050638,-1.519917886,-0.559336611,-0.208555064,-0.820108057,-0.175736075,-0.174962716,0.946851399,0.250840592
A0A024R2B1,2.301265184,-0.783130672,2.122141756,0.049421971,0.492479404,1.04766915,0.646493318,1.480618728,-0.434362964,-0.033439548,-0.419183256,-1.408612588,-1.066668415,0.045950775,0.011514378,0.011548427,-1.360269835,-0.548332358,0.060943524,-0.942336204,0.352402818,0.284950094,1.749343936,-1.240302048,0.412657803,-1.465070717,1.11653502,-0.752314391,-0.765958745,-0.796601477,-0.125791964
A0A024R2B6,1.197471703,-0.422237445,1.961423032,0.562990884,-0.261118418,-0.171270747,-0.322962442,0.4371471,0.375075905,-0.737823454,-0.571086752,0.553999497,-0.984505761,-1.177711079,0.020691436,-0.059546112,-1.403469515,0.467647661,-0.609531903,-0.393574057,0.195137473,-0.021630307,2.209635821,-1.126022406,1.504240892,0.363596633,-0.085148984,-1.556102704,-0.37111517,0.036008043,-1.227117228
A0A024R2C5,0.780372369,-0.927878546,0.549042442,0.892349905,-0.817581191,0.215009329,-0.769260462,0.457718015,0.05369367,0.392198283,0.577418416,-1.632815364,-0.534316518,-0.525320682,-0.0680285,1.075572526,-0.769725164,-0.026193839,-0.580613021,-2.441313734,2.180159524,1.795036155,1.098465747,-0.42783164,-1.290199324,0.367191943,-0.997037579,-0.443733872,0.150090878,1.489537251,0.680536575
A0A024R2E9,-2.213665954,0.947885709,1.186840007,-1.11645214,0.519462782,-0.938904969,-0.415560325,-1.927580851,0.310517205,0.685229348,-2.058659745,0.670900778,0.109593143,-0.220714666,1.083808656,0.411730041,0.11026136,0.304068143,0.381971387,-0.243039462,0.382818913,2.261761694,-0.968484716,0.062851997,-0.103080738,-0.621362423,1.356846321,-0.004811164,-0.129232806,-1.561868451,0.483139915
A0A024R2F8,0.200855316,-0.943954637,0.323973519,3.196638311,-0.57843482,-1.211651196,-0.125191948,-2.374961132,0.736703409,0.504496612,-0.348601242,0.830940114,0.430725813,-0.198172346,-0.465953357,0.395691804,-1.054419849,-0.378681342,0.397514766,-1.675039765,0.315166594,-0.410662221,0.372415369,0.285084212,-0.992854343,0.205420264,-1.24461893,0.628103017,-0.673094196,-0.650238439,0.004574723
A0A024R2F9,1.86902501,2.261282719,0.1173068,-1.029399603,-0.902594976,-0.308421592,-0.321690464,-0.675244048,-0.452328374,-0.850718003,-0.484381755,-0.405194831,-0.503848893,0.073680234,-0.528288037,-0.764353903,-0.13235298,-0.633350796,-0.378235341,0.573887215,0.721202391,2.845610657,-0.349318195,-0.188691965,1.330647023,1.825443819,-0.736871646,-1.034549563,-0.850428173,-0.205871553,1.25007127
